v,u,t_id_v,t_id_u,interaction_type,t_time_v,t_time_u
6353,3964,938965729939824641,938956875265015808,3,1512701849814,1512699738695
2914,3391,938974959623270400,938931854484238336,3,1512704050342,1512693773276
2500,2801,939017780652752896,938963654682087425,3,1512714259671,1512701355034
1334,3391,939021918023249921,938931854484238336,3,1512715246097,1512693773276
6353,6043,939087183217958913,938969386764746752,3,1512730806532,1512702721669
3486,2982,939099228244082694,938608140366495744,3,1512733678290,1512616593000
2663,3287,939144362792968192,939144091446558720,3,1512744439205,1512744374511
1760,1334,939412432132366336,938892689415725056,3,1512808351916,1512684435596
6512,3872,939670236420116480,939509470920450048,3,1512869817248,1512831487766
2082,4730,939684893470027776,939273939469058048,3,1512873311761,1512775332692
6353,3964,939989148378656768,939970481444110336,3,1512945851784,1512941401240
4068,386,940006865974394880,937571531420442625,3,1512950075988,1512369446984
4068,386,940009002326409217,937571531420442625,3,1512950585334,1512369446984
5707,1938,940076192555606019,940033239556558848,3,1512966604733,1512956363940
2833,811,940147546965426176,940069391558893569,3,1512983616950,1512964983249
6043,3964,940375559422451712,940327856558575617,3,1513037979356,1513026606107
6043,1722,940382888171728896,940381413286612993,3,1513039726666,1513039375026
6353,2678,940442435062177792,940440933434253312,3,1513053923751,1513053565735
6353,2193,940443717982289921,940434123457380352,3,1513054229623,1513051942110
3904,4730,940521463550844928,940496507689512960,3,1513072765611,1513066815670
2082,4730,940527692599910402,940496507689512960,3,1513074250732,1513066815670
3756,5331,940535187628158976,940095896691228672,3,1513076037686,1512971302565
6353,6146,940539881092136960,940536597623201792,3,1513077156695,1513076373855
6353,3964,940711051175149569,940709384170041350,3,1513117966823,1513117569378
6353,6453,940720774956048384,940719027826999296,3,1513120285153,1513119868605
6353,3964,940758861761392640,940704950069243904,3,1513129365755,1513116512206
5377,3353,940890584335519744,940794941860646912,3,1513160770864,1513137967000
1334,4864,940891042923941888,930965862063812608,3,1513160880200,1510794532682
4397,4864,940896325373005825,930965862063812608,3,1513162139634,1510794532682
2914,4864,940908237871652864,930965862063812608,3,1513164979795,1510794532682
1334,2733,940911239022067712,940910349737345024,3,1513165695325,1513165483303
1334,2733,940911874744369152,940910349737345024,3,1513165846893,1513165483303
6043,3964,940916388939513856,940709384170041350,3,1513166923161,1513117569378
6453,1334,940940761608044544,940883577792733184,3,1513172734058,1513159100374
3502,1334,941040516975673344,940883577792733184,3,1513196517591,1513159100374
6353,3964,941064754398818305,941061767928492032,3,1513202296243,1513201584213
5377,3353,941097772874391552,940890055802994688,3,1513210168461,1513160644852
4630,359,941131191607967745,940716186068586496,3,1513218136108,1513119191077
6453,1988,941159917674627072,941147042184806401,3,1513224984936,1513221915180
1760,5828,941186068568608769,940888259697111040,3,1513231219795,1513160216000
4463,5828,941186302522802179,940888259697111040,3,1513231275574,1513160216000
1826,5828,941226533921832960,940888259697111040,3,1513240867487,1513160216000
6043,3964,941231873472151552,941096111867011072,3,1513242140535,1513209772446
6043,3964,941232707694030848,941061767928492032,3,1513242339429,1513201584213
60,4630,941236519691476993,941212601031282689,3,1513243248280,1513237545627
4397,5828,941262422832115713,940888259697111040,3,1513249424070,1513160216000
6043,1826,941264465500110848,941226533921832960,3,1513249911080,1513240867487
6353,6146,941286788852617216,941284489153585152,3,1513255233382,1513254685091
6353,1550,941470036819980288,941452598166433792,3,1513298923102,1513294765403
5974,1822,941576480730968064,941541216314728448,3,1513324301308,1513315893616
1334,4864,941590972231585792,940890518753484800,3,1513327756351,1513160755228
1610,2076,941593422640463872,941590096595128320,3,1513328340574,1513327547583
4864,1334,941795951617777664,941256136639909888,3,1513376627245,1513247925325
6353,6453,942005659741986816,941983914230296576,3,1513426625558,1513421441024
4068,1334,942572423148331008,940883577792733184,3,1513561752484,1513159100374
6353,2303,942572874736340992,942553872274415621,3,1513561860151,1513557329611
4498,849,942585840487690240,942579085028376576,3,1513564951427,1513563340800
6353,6453,942627046391296001,942623354686541824,3,1513574775680,1513573895509
6353,3964,942635089191510016,942629829295214593,3,1513576693233,1513575439176
6353,6453,942638875427532800,942623354686541824,3,1513577595942,1513573895509
6043,3964,942671781382336513,942629829295214593,3,1513585441333,1513575439176
1060,3904,942916448736878592,942911614726029313,3,1513643774576,1513642622058
1760,1550,942929085948235776,942878285993721856,3,1513646787522,1513634675000
2249,1060,942961527031603200,942862442291273728,3,1513654522079,1513630898000
6353,6146,942999973590794241,942994275578519552,3,1513663688453,1513662329941
6453,2047,943345531950166016,943287982680834048,3,1513746075986,1513732355171
1017,669,943380156764135424,942921419406458880,3,1513754331185,1513644959676
6043,1760,943698456631066624,943692948914368512,3,1513830219787,1513828906645
1760,4533,943941833800814592,943804829792530432,3,1513888245426,1513855581125
1610,2076,943970581183062016,943828185921155073,3,1513895099336,1513861149660
2733,3391,944044322847997952,944040879240572928,3,1513912680719,1513911859699
2733,3391,944045174275039233,944042233317138432,3,1513912883715,1513912182536
1760,3391,944050490685263872,944040879240572928,3,1513914151246,1513911859699
1060,3391,944053776914063360,944042233317138432,3,1513914934744,1513912182536
1060,3391,944053810032386049,944040879240572928,3,1513914942640,1513911859699
6453,2047,944105175555248128,944096448806899713,3,1513927189135,1513925108516
6353,2047,944119728620027904,944096448806899713,3,1513930658856,1513925108516
3964,3391,944185687229677568,944040879240572928,3,1513946384614,1513911859699
6453,3391,944400643963289600,944040879240572928,3,1513997634293,1513911859699
6353,3964,944449123104591872,944411333465817088,3,1514009192621,1514000182869
2076,2733,944500930401017856,944500043880345600,3,1514021544443,1514021333080
5643,4533,944864744480980993,944846625398075393,3,1514108284479,1514103964553
5643,4533,945034170455044096,945032682609590273,3,1514148678779,1514148324049
2221,2649,945670061355802624,934402157050150915,3,1514300286984,1511613809250
6512,2733,930960056820015104,930959940180631552,2,1510793148604,1510793120795
6512,2733,930960408143216640,930959940180631552,2,1510793232366,1510793120795
6146,3964,930977703099908096,930953124621180930,2,1510797355805,1510791495000
60,626,931028247755735040,930942930352664581,2,1510809406590,1510789065000
2493,4764,931059820051931136,931025357834141696,2,1510816934012,1510808717579
3964,6453,931103842048937984,931079668089753600,2,1510827429674,1510821666153
6453,3964,931104411031552002,931103842048937984,2,1510827565330,1510827429674
3964,6453,931105686561349638,931104411031552002,2,1510827869440,1510827565330
3893,947,931113355271585792,931109535464374272,2,1510829697803,1510828787090
1060,2047,931300073232785410,931299400244011008,2,1510874214834,1510874054381
2733,2047,931317126836531200,931317017126117376,2,1510878280730,1510878254573
6353,3964,931335587407183872,931297137551294464,2,1510882682073,1510873514913
2493,55,931393777012318208,931371718647586816,2,1510896555556,1510891296000
1544,4456,931423984653967361,931422471110012928,2,1510903757619,1510903396762
6453,2047,931426098734186497,931295728239968256,2,1510904261655,1510873178907
4456,1544,931473221072728064,931423984653967361,2,1510915496496,1510903757619
725,5331,931478437591638017,931461889149739008,2,1510916740211,1510912794755
1544,4456,931480873412714496,931473221072728064,2,1510917320956,1510915496496
6512,2602,931498340474175488,931357351499538432,2,1510921485428,1510887871000
6043,1060,931612238506422272,931374713539981312,2,1510948640835,1510892010000
6146,3964,931697194221977600,931667266176892928,2,1510968895856,1510961760454
6512,2247,931746442863042561,931743662760853504,2,1510980637647,1510979974819
6043,3964,931846858086817793,931667266176892928,2,1511004578502,1510961760454
2249,500,932161994743881728,932154679957405696,2,1511079712936,1511077968955
2127,3265,932163856171855872,931485945366319104,2,1511080156735,1510918530204
6421,63,932192955837771776,932178314889797634,2,1511087094636,1511083603962
702,130,932194308379119617,932125681403576320,2,1511087417107,1511071055161
387,1938,932437207033323521,932426228086161408,2,1511145328659,1511142711074
1319,626,932494353095802880,930942930352664581,2,1511158953342,1510789065000
130,702,932505893790367744,932505728031404032,2,1511161704858,1511161665338
702,130,932507389869277184,932505893790367744,2,1511162061551,1511161704858
130,702,932507574867337216,932507389869277184,2,1511162105658,1511162061551
702,130,932512200991809536,932507574867337216,2,1511163208612,1511162105658
4765,4730,932750672746881024,932746751064260608,2,1511220064709,1511219129707
4730,4765,932752981274927104,932750672746881024,2,1511220615105,1511220064709
3336,130,932804649773445120,932751524094078976,2,1511232933835,1511220267686
130,3336,932805210577059840,932804649773445120,2,1511233067541,1511232933835
3336,130,932806443148779520,932805210577059840,2,1511233361409,1511233067541
130,3336,932807687519080448,932806443148779520,2,1511233658090,1511233361409
3336,130,932811572786765825,932807687519080448,2,1511234584410,1511233658090
130,3336,932811716659855360,932811572786765825,2,1511234618712,1511234584410
3336,130,932815296686989313,932811716659855360,2,1511235472257,1511234618712
130,3336,932815604142063616,932815296686989313,2,1511235545560,1511235472257
3490,4382,932825117217906689,932800609195053056,2,1511237813654,1511231970486
6353,3486,932849752491802624,932848969037705216,2,1511243687161,1511243500371
3486,6353,932853366346080257,932849752491802624,2,1511244548771,1511243687161
55,3406,932902899360808961,932836619840655360,2,1511256358362,1511240556093
774,55,932913242967482370,932902899360808961,2,1511258824470,1511256358362
3964,669,932943093053104128,932941119008096256,2,1511265941285,1511265470636
2493,3486,932944838047162372,932394919141941248,2,1511266357324,1511135246440
2493,3486,932944942665646080,932394919141941248,2,1511266382267,1511135246440
669,3964,932945921821761536,932943093053104128,2,1511266615716,1511265941285
3486,2493,933065726289526784,932944942665646080,2,1511295179327,1511266382267
6043,1722,933066401669038080,932949229886095361,2,1511295340350,1511267404420
2493,3486,933085009820336128,932394919141941248,2,1511299776879,1511135246440
2493,3486,933086096895852544,933065726289526784,2,1511300036058,1511295179327
3486,2493,933091752117813248,933086096895852544,2,1511301384368,1511300036058
6353,3964,933117981600628738,933117427222638593,2,1511307637964,1511307505000
4498,2076,933220778581016576,933219462987182081,2,1511332146674,1511331833012
2076,4498,933221264017178624,933220778581016576,2,1511332262411,1511332146674
6445,9,933223461136187394,933215845161021441,2,1511332786245,1511330970455
6445,2733,933224310277156864,933223219053469696,2,1511332988696,1511332728528
2733,3391,933264777085730817,933264018881462272,2,1511342636735,1511342455965
3391,2733,933265478369161216,933264777085730817,2,1511342803934,1511342636735
1897,1768,933265648158785536,933210195345342465,2,1511342844415,1511329623434
2733,3391,933265843164557313,933265478369161216,2,1511342890908,1511342803934
1768,1897,933266091517788160,933265648158785536,2,1511342950120,1511342844415
6453,2733,933267794505777153,933265843164557313,2,1511343356144,1511342890908
3490,3336,933268158080720896,933266137097240578,2,1511343442827,1511342960987
3391,6453,933270987344248832,933267794505777153,2,1511344117376,1511343356144
2733,6453,933276314982801408,933267794505777153,2,1511345387584,1511343356144
3069,2076,933296903608877057,933219462987182081,2,1511350296295,1511331833012
1544,4456,933306918147203072,933305802844094464,2,1511352683947,1511352418038
1388,2962,933393065095467008,933245786850172928,2,1511373222980,1511338109110
4134,98,933436913205178368,933314395030949889,2,1511383677184,1511354466575
6353,3964,933461384372695040,933457637517099008,2,1511389511565,1511388618245
4228,1529,933488768232722433,933486741045964800,2,1511396040386,1511395557067
4557,4228,933530067845627904,933476151921598464,2,1511405886981,1511393032423
3614,4228,933532104440160257,933476151921598464,2,1511406372543,1511393032423
2017,3904,933532885151182850,933528906111447041,2,1511406558679,1511405610002
3904,2017,933533580738772993,933532885151182850,2,1511406724520,1511406558679
669,4228,933554066008956928,933476151921598464,2,1511411608589,1511393032423
6043,4630,933604550287572994,933598712613556225,2,1511423644979,1511422253169
