t_id,author_uid,favourited_by_uid,interaction_type
947310230156738560,2959819907,319359157,5
947310650614624258,161147938,631163382,5
947310678033031174,1902481484,319359157,5
947310728062652417,2846189227,18387976,5
947310728062652417,2846189227,352450989,5
947310728062652417,2846189227,729307612735361024,5
947311007990501377,339476278,22657534,5
947311074973487104,3385222577,2872114958,5
947311239088111616,752583150,162944319,5
947311300773691393,447392814,162944319,5
947312020189310976,40818894,563623339,5
947312031123718144,539970049,297407536,5
947312116221984769,41065789,2872114958,5
947312700442394625,365285280,631163382,5
947312736131780609,350014219,563623339,5
947312867132485632,28785486,22657534,5
947312904088510464,4719367155,813327952272183296,5
947312928004247552,183207196,525361138,5
947312935004618753,193927117,22657534,5
947313214118699010,804691009535938560,3213121774,5
947313291231031296,96535892,4788444973,5
947313417685291009,2524254414,563623339,5
947313439495503872,483514484,3246614169,5
947313739048423424,141186381,4788444973,5
947313751992274944,1339835893,199554699,5
947314064245559298,3119412323,3246614169,5
947314165126914049,2253378625,162944319,5
947314416151703552,3146684864,2520462038,5
947314591985434624,74773917,716573580629180416,5
947314959943266306,1357565604,53603688,5
947315063378939904,3318079117,3213121774,5
947315392396931072,78523300,2595865716,5
947315877728239617,507295849,1139088236,5
947316341966385152,1438162062,3246614169,5
947316371188097024,1229653806,729307612735361024,5
947316491157778432,56276182,563623339,5
947316522216693760,56276182,563623339,5
947316675329769473,39364684,2520462038,5
947316932994154496,39364684,239782939,5
947317139295182853,1195051945,31285227,5
947317302306861056,104925645,631163382,5
947317490618580992,165700830,224776638,5
947317511644688385,109707441,702845765966647296,5
947318099480494081,3221970338,16646089,5
947318182829789184,3119412323,3246614169,5
947318354099945472,18228898,239782939,5
947318354099945472,18228898,396981910,5
947318354099945472,18228898,716573580629180416,5
947318555128852481,33923443,2507275886,5
947318952153231360,109707441,702845765966647296,5
947319749129551874,187884079,597441614,5
947320026553610240,211637917,396981910,5
947320327025123335,3521529916,563623339,5
947320579073327105,92408522,2595865716,5
947321016576983040,42338524,631163382,5
947321599996215296,56069822,631163382,5
947321952577949696,199972416,178304383,5
947322104378036224,17832653,631163382,5
947322258170683393,31530480,3331844781,5
947322429461839872,373869682,729307612735361024,5
947323170784124928,22354381,734629429339643904,5
947323958117978113,32871086,10654812,5
947324535287590914,85621956,4788444973,5
947324693861736449,4574189954,3213121774,5
947324726325608448,172652106,12851802,5
947324864070905856,400309070,2520462038,5
947324892684345344,1700487464,3301597099,5
947324912133464064,262028312,563623339,5
947325367408197637,826074357927534593,162944319,5
947325883362156544,15248759,208905805,5
947326328218509313,339476278,22657534,5
947326489430704129,753952197868609536,162944319,5
947326489430704129,753952197868609536,30176213,5
947326745119621121,41088384,182191483,5
947326745119621121,41088384,2826253237,5
947327826809593856,3267805908,4788444973,5
947327906556076033,262028312,563623339,5
947328103860367360,3631917135,3246614169,5
947328143622377472,3631917135,3246614169,5
947328357372276736,2802859207,301395199,5
947328357372276736,2802859207,3331844781,5
947328421490843648,3130403703,813327952272183296,5
947328988682141696,449547619,882210433611866112,5
947329005681762305,2356107308,4788444973,5
947329171327401984,185614627,153271366,5
947329335286956032,770406412988014593,2219869782,5
947329390488293376,160841003,31285227,5
947329619023269889,19223156,22458094,5
947329720076550146,814684974964207616,3213121774,5
947329791815950337,4628602041,3213121774,5
947329881242705920,2380473174,4788444973,5
947330122419404800,923993020546080769,4788444973,5
947330140404453376,321219571,4788444973,5
947330243823407104,300133329,426665236,5
947330243823407104,300133329,915783024,5
947330483288862725,28710006,396981910,5
947330813686714369,46060712,300133329,5
947330963436007424,1659452628,3213121774,5
947331136362971137,2796729872,24847805,5
947331477141729280,751312766506373120,3213121774,5
947331527628804097,338446585,2872114958,5
947331844554362880,3286054472,764413409366466560,5
947332010057650177,918162365631418369,2287913214,5
947332296180461569,125786481,384178657,5
947332682882490373,97153394,300133329,5
947332994347520000,273730280,208905805,5
947332994347520000,273730280,919010720,5
947333647463415809,771462689935634432,2520462038,5
947333806150778880,2721485831,813327952272183296,5
947333924073566208,6446742,4271377579,5
947334007548547072,813418570650681344,4788444973,5
947334329117548545,20874868,2533375958,5
947334410776453121,235445873,300133329,5
947334681145499648,142129666,2520462038,5
947334908669722624,2292395282,563623339,5
947334969084461057,6446742,4271377579,5
947335049547988992,2292680382,3213121774,5
947335255891042304,823357019272847360,2595865716,5
947335286014353408,412784003,224776638,5
947335725120339968,6446742,4271377579,5
947335919467601920,2514625458,695118170684678144,5
947335949717004288,3172266534,3213121774,5
947336515478278145,26882404,249616322,5
947336534918881286,2937495222,4318540752,5
947336971256414208,249616322,12851802,5
947336971256414208,249616322,3062625242,5
947336971256414208,249616322,378535333,5
947336997185531905,95871559,4788444973,5
947337030588973056,828789392219086848,22458094,5
947337206301057024,21586418,19184798,5
947337206301057024,21586418,4271377579,5
947337241688358914,27394241,805728994620424192,5
947337534371192832,779557119590707200,1932318385,5
947337691384881153,753952197868609536,162944319,5
947338005475246080,43662605,2520462038,5
947338090372370432,262028312,563623339,5
947338291287748608,1654651374,359995092,5
947338291979964417,621855606,708439932,5
947338452772818944,753952197868609536,162944319,5
947338493436366849,66544351,64383960,5
947338604765835264,4913899764,16646089,5
947338796663574531,1229653806,729307612735361024,5
947338951555035137,441313770,842348951139307522,5
947339425696006144,17137062,201694330,5
947339739476008960,198253415,4788444973,5
947339971530072064,734360843601739778,4788444973,5
947340140065595392,3178267369,4788444973,5
947340205001883648,221647151,3213121774,5
947340371301765120,793759292604059648,3213121774,5
947340575551905793,19181983,771301994,5
947340592664625152,256090450,297407536,5
947341211890675713,17790911,396981910,5
947341225769672706,795949307123769344,137394758,5
947341441944170496,20581923,915783024,5
947341919692111872,1226856715,31285227,5
947342136390778880,160841003,31285227,5
947342205437362179,3513230292,31285227,5
947342598800261120,210355387,3213121774,5
947342733923926017,14807898,915783024,5
947342917932277760,830820620996718593,4788444973,5
947343248166567936,56701362,3213121774,5
947343473291575296,827699177006129152,4788444973,5
947343759682842624,440858867,319359157,5
947344012125511680,749687362804813827,729307612735361024,5
947344456520368128,51028856,446312536,5
947344533393567744,2253378625,162944319,5
947344992325922816,19237409,565183238,5
947345401371287552,355989081,167738382,5
947345511534567424,712476937,631163382,5
947346167817322497,312967248,631163382,5
947346233525448704,703242659205230593,864849750,5
947346249404989440,426665236,300133329,5
947346630013063168,354229519,4788444973,5
947346667719745538,887110522935533568,631163382,5
947346912906133505,2253378625,162944319,5
947347046603767808,77209956,224776638,5
947347333439721472,348056057,740491872594862081,5
947347750416351232,66544351,64383960,5
947348013835436032,323269990,631163382,5
947348233407299584,1570917810,129620044,5
947348297475387394,755504,915783024,5
947348524986855424,1641926725,545768068,5
947348524986855424,1641926725,631163382,5
947348593891069952,3064642442,4271377579,5
947348828004401152,2339508653,3213121774,5
947349061069291520,1928652182,300133329,5
947349157278187521,577544966,393211622,5
947349206712365057,2156299840,774823162932449280,5
947349398895214592,46671731,64383960,5
947349615875014660,287919931,566774233,5
947349801300983808,2776160768,3213121774,5
947350062308343811,86866966,497550434,5
947350267728601089,168379079,813327952272183296,5
947350353833545728,18393773,2520462038,5
947350359411867648,185614627,208905805,5
947350408761982977,169362285,12851802,5
947350408761982977,169362285,224776638,5
947350408761982977,169362285,631163382,5
947351100507738115,3130403703,813327952272183296,5
947351431962533888,842348951139307522,300133329,5
947351431962533888,842348951139307522,426665236,5
947351915897040897,868983452,631163382,5
947352007274201088,164335216,4788444973,5
947352057429811200,3064215710,842295222994255872,5
947352763519954944,881748097,2872114958,5
947352832658751490,47353721,631163382,5
947352917450768384,129020201,631163382,5
947353026620047360,235445873,1376115612,5
947353757561511937,868983452,631163382,5
947354045227745280,48525566,852362642639396864,5
947354146486681601,17456542,383914399,5
947354337575096320,238030151,388026817,5
947354649417224192,28026149,852362642639396864,5
947354902153510912,14874142,813327952272183296,5
947354922902740992,753952197868609536,162944319,5
947355002863054849,711114318,388026817,5
947355101525508096,27855395,631163382,5
947355350642057216,899660964,3213121774,5
947355363229122560,47353721,631163382,5
947355417033588736,2187447026,132506407,5
947355417033588736,2187447026,261664211,5
947355417033588736,2187447026,33391929,5
947355482347491330,881325693233188866,915783024,5
947355648391569408,26882404,22657534,5
947355648391569408,26882404,2826253237,5
947355843120345088,863150190974218240,631163382,5
947356159433777153,1392504302,2892532658,5
947356250798297089,16264006,614016613,5
947356815603273728,38430999,631163382,5
947356985879490562,762906414041837568,631163382,5
947357817861652480,357286380,889287163409387520,5
947358156698542081,15486485,12851802,5
947358474320494592,2326980259,3163623721,5
947359085363687426,16589206,2287913214,5
947359432748318720,762906414041837568,631163382,5
947359951239782402,95172064,4788444973,5
947360020101873665,26712010,10590642,5
947360225446608896,85807073,4788444973,5
947360642880626688,950625440,631163382,5
947360716247273478,581368622,631163382,5
947360789626867712,2238741900,1550348929,5
947361006505873408,250316894,1441028306,5
947361006505873408,250316894,170076175,5
947361217244532737,347058997,1855527763,5
947361221321224192,308981806,300133329,5
947361248013729793,3145899209,327060467,5
947361589262303232,762906414041837568,631163382,5
947361680132005888,263378242,1866251784,5
947361704547008512,2154461958,4880362933,5
947362340470525953,923993020546080769,4788444973,5
947362608994164736,152396100,178621130,5
947362770563031040,1149982118,864849750,5
947363244515004417,16362096,864849750,5
