t_id,timestamp_ms,uid,nuid,is_reply,is_retweet,is_quote,replied_uid,replied_t_id,retweeted_uid,retweeted_t_id,quoted_uid,quoted_t_id
946811150582276096,1514572343856,20245493,1302,0,0,0,,,,,,
946811561435316224,1514572441811,396981910,3762,0,1,1,,,3218903240,946463360760942592,1496971,799054541408862208
946813228520230915,1514572839275,348326261,3369,0,0,0,,,,,,
946813499065405440,1514572903778,129620044,395,0,1,0,,,213009133,946424181838659585,,
946813764208332800,1514572966993,348326261,3369,0,0,0,,,,,,
946814504259739648,1514573143435,348326261,3369,0,0,0,,,,,,
946814917537124353,1514573241968,348326261,3369,0,0,0,,,,,,
946818158555414528,1514574014687,245421969,1886,0,0,0,,,,,,
946820207594692612,1514574503216,804296555909918720,5902,0,0,0,,,,,,
946822911456718848,1514575147867,4656735007,4222,0,1,0,,,2276741023,946767193441574913,,
946823243079434240,1514575226932,4656735007,4222,1,0,0,2276741023,946767193441574913,,,,
946823423782555655,1514575270015,20114602,1292,0,0,0,,,,,,
946823471123726336,1514575281302,4656735007,4222,0,1,0,,,2276741023,946765966502854657,,
946823580544671744,1514575307390,20114602,1292,1,0,0,20114602,946823423782555655,,,,
946823699239387137,1514575335689,4656735007,4222,1,0,0,2276741023,946765966502854657,,,,
946823852071383046,1514575372127,4656735007,4222,0,1,0,,,2276741023,946766802565996545,,
946823952969732096,1514575396183,4656735007,4222,1,0,0,2276741023,946766802565996545,,,,
946824961817219072,1514575636711,3246614169,3094,0,1,0,,,14660487,946143589335224321,,
946826691514482688,1514576049103,4656735007,4222,0,0,0,,,,,,
946827015931404289,1514576126450,4656735007,4222,0,1,0,,,2787433679,946823341373054976,,
946827473638924289,1514576235576,4656735007,4222,0,1,0,,,744027003813257218,946799715223404544,,
946827831593656321,1514576320919,45983525,4190,0,0,0,,,,,,
946828943444922368,1514576586005,3048138907,2804,0,0,0,,,,,,
946830059276451840,1514576852040,18399332,1077,0,1,0,,,4196983835,946822118871724032,,
946830808769224710,1514577030733,22657534,1555,0,1,0,,,9207632,946825152037294081,,
946832431516073989,1514577417626,265035432,2170,0,1,0,,,3380063728,946742914729771008,,
946832609484476416,1514577460057,265035432,2170,0,1,0,,,1633453286,946788313612111872,,
946833249640202241,1514577612682,245421969,1886,0,0,0,,,,,,
946834072860426240,1514577808953,18399332,1077,0,1,0,,,18368859,946820023024099328,,
946834153856733184,1514577828264,804296555909918720,5902,0,0,0,,,,,,
946836012717576192,1514578271451,813327952272183296,5949,1,0,0,2781261186,946835000686731264,,,,
946836092786917376,1514578290541,813327952272183296,5949,0,0,1,,,,,2781261186,946835000686731264
946838583561797632,1514578884388,32851085,3165,0,0,0,,,,,,
946839599262842885,1514579126550,90616027,6421,1,0,0,535326253,946629287418793985,,,,
946840094140444672,1514579244538,796152745203929089,5853,0,1,0,,,3188859962,946822769622310914,,
946840399502458880,1514579317342,231725470,1645,0,0,0,,,,,,
946840428266926080,1514579324200,2388222403,1760,0,1,1,,,55431648,946531302680903681,359137606,946528305922134016
946840562409160704,1514579356182,231725470,1645,1,0,0,147544518,946827031152435200,,,,
946840593744904192,1514579363653,20114602,1292,1,0,0,47299123,946825815731273729,,,,
946840933940723713,1514579444762,624116125,5035,0,1,0,,,439087040,946712783046967296,,
946840936947924993,1514579445479,231725470,1645,0,1,1,,,247696871,946840610974994433,98247788,946554277807390721
946841098952912896,1514579484104,20114602,1292,1,0,0,481154349,946732075008143360,,,,
946841774319792128,1514579645124,488285969,4397,0,0,0,,,,,,
946842017757319170,1514579703164,624116125,5035,0,0,0,,,,,,
946842538324791296,1514579827277,488285969,4397,1,0,0,237612784,946840062087458816,,,,
946842755975622656,1514579879169,488285969,4397,1,0,0,358464377,946840808862429186,,,,
946842772505370625,1514579883110,488285969,4397,0,1,0,,,358464377,946840808862429186,,
946842948771000320,1514579925135,488285969,4397,0,1,0,,,51378153,946775995977105408,,
946843255232118789,1514579998201,488285969,4397,1,0,0,237612784,946843035198939137,,,,
946843410140250112,1514580035134,488285969,4397,0,1,0,,,237612784,946843035198939137,,
946843529602408448,1514580063616,488285969,4397,0,1,1,,,48624704,946592407956553728,18753424,946452699154849792
946844153102548992,1514580212270,488285969,4397,0,1,0,,,762373104,946843630173544448,,
946844161549811712,1514580214284,90616027,6421,0,1,0,,,2917644652,946643394734018565,,
946844367771254784,1514580263451,488285969,4397,0,1,1,,,47316108,946669789107257344,15486485,946644728115748864
946844416131530752,1514580274981,90616027,6421,0,1,0,,,18643437,946711257243144199,,
946844606926168064,1514580320470,488285969,4397,0,1,1,,,1181010673,945984397999857664,1710829380,945645691594072065
946844797427257344,1514580365889,488285969,4397,1,0,0,1181010673,945984397999857664,,,,
946844963697860608,1514580405531,90616027,6421,0,1,0,,,141084952,946719118979403776,,
946845242174480384,1514580471925,488285969,4397,0,1,0,,,65698096,946803075850952704,,
946845378749460485,1514580504487,90616027,6421,0,1,0,,,32201814,946821835483729920,,
946845500434550784,1514580533499,488285969,4397,0,1,1,,,741693001,946565443069739008,16734909,946529772217147396
946845575999193088,1514580551515,488285969,4397,0,1,1,,,1253387594,946845230560448512,16509444,946708914883608576
946845744689946624,1514580591734,488285969,4397,0,1,0,,,312696314,944732451930234880,,
946845790495940608,1514580602655,792534278491942912,5834,1,0,0,50966681,946841337529237505,,,,
946846392743370752,1514580746242,488285969,4397,0,1,0,,,17801749,946845697013403648,,
946846824710791174,1514580849231,23929702,1769,0,0,0,,,,,,
946847594252156928,1514581032704,827431800070828034,6043,1,0,0,2388222403,946840018391203840,,,,
946847625273401345,1514581040100,2952998461,2666,0,0,0,,,,,,
946847677601406976,1514581052576,488285969,4397,1,0,0,40397155,946845667602808832,,,,
946847701617975296,1514581058302,488285969,4397,0,1,1,,,40397155,946845667602808832,140085170,946715285704269824
946847801429729280,1514581082099,488285969,4397,0,1,0,,,762373104,946846967191126016,,
946847829204619264,1514581088721,804296555909918720,5902,0,0,0,,,,,,
946847829745582080,1514581088850,849806412771278848,6186,0,1,1,,,3405497356,946782428533809157,3405497356,943481433221488646
946847832404889600,1514581089484,804296555909918720,5902,0,0,0,,,,,,
946847834665603072,1514581090023,804296555909918720,5902,0,0,0,,,,,,
946847837186347008,1514581090624,804296555909918720,5902,0,0,0,,,,,,
946848246697156608,1514581188259,859497871,6228,0,1,0,,,3113578866,946646428562026496,,
946848353635090433,1514581213755,245421969,1886,0,0,0,,,,,,
946848378398240768,1514581219659,792534278491942912,5834,1,0,0,156464691,946844682167894016,,,,
946848378708570112,1514581219733,488285969,4397,0,1,0,,,384233102,946848253361844225,,
946848465262280704,1514581240369,792534278491942912,5834,0,1,0,,,156464691,946844682167894016,,
946848528743112704,1514581255504,827431800070828034,6043,1,0,0,169767749,946539037174611973,,,,
946848580970545152,1514581267956,488285969,4397,0,1,1,,,976983362,946847986499416064,18753424,946452699154849792
