v,u,t_id_v,t_id_u,interaction_type,t_time_v,t_time_u
998,188,927622977717334018,927622521469333504,1,1509997526946,7/11/2017 06:43:38
187,188,927623337458544640,927622521469333504,1,1509997612715,7/11/2017 06:43:38
767,188,927628924565184512,927622521469333504,1,1509998944785,7/11/2017 06:43:38
758,209,927630524859871234,927605757960380418,1,1509999326325,7/11/2017 05:37:01
83,217,927631279423549440,927627234638254080,1,1509999506227,7/11/2017 07:02:21
1008,253,927628234618892290,927304634816856066,1,1509998780289,6/11/2017 09:40:28
294,279,927628377871151104,927626462726733824,1,1509998814443,7/11/2017 06:59:17
120,280,927627833974779906,927495923764142080,1,1509998684768,6/11/2017 22:20:34
203,280,927631607464280064,927495923764142080,1,1509999584438,6/11/2017 22:20:34
118,280,927634095256899584,927495923764142080,1,1510000177574,6/11/2017 22:20:34
251,298,927630279002353671,927450765211287552,1,1509999267708,6/11/2017 19:21:08
131,298,927633449451528193,927450765211287552,1,1510000023602,6/11/2017 19:21:08
69,298,927633641550749696,927450765211287552,1,1510000069402,6/11/2017 19:21:08
983,316,927631579958169601,927625971997450240,1,1509999577880,7/11/2017 06:57:20
1015,346,927630651192307718,927333768750235648,1,1509999356445,6/11/2017 11:36:14
387,370,927630639435673602,927626999836819456,1,1509999353642,7/11/2017 07:01:25
1009,393,927628539129556993,927351399637291009,1,1509998852890,6/11/2017 12:46:17
274,393,927631032152551427,926241169822175233,1,1509999447273,3/11/2017 11:14:38
986,434,927627825292623872,927626023646064640,1,1509998682698,7/11/2017 06:57:33
1005,530,927628290772234241,927362511636008960,1,1509998793677,6/11/2017 13:30:26
1010,530,927628743610310656,927362511636008960,1,1509998901642,6/11/2017 13:30:26
219,713,927624102541533184,927623813117894656,1,1509997795125,7/11/2017 06:48:46
1024,733,927633506871603200,927517716755435526,1,1510000037292,6/11/2017 23:47:10
154,787,927623619143856128,927622963310055424,1,1509997679874,7/11/2017 06:45:23
1022,846,927633129216626689,927607264231415809,1,1509999947252,7/11/2017 05:43:00
794,848,927622617049133057,926942630210027520,1,1509997440956,5/11/2017 09:41:59
969,857,927630535324782592,927486903141535744,1,1509999328820,6/11/2017 21:44:44
907,912,927629051346350080,927528868986085377,1,1509998975012,7/11/2017 00:31:29
907,912,927629217772138496,927522096556548097,1,1509999014691,7/11/2017 00:04:35
907,912,927629471338840064,927512601512230912,1,1509999075146,6/11/2017 23:26:51
921,920,927621614216384519,927610382855868416,1,1509997201862,7/11/2017 05:55:24
